time,x,y,z
9.10,264341.84,309390.58,747.14
9.20,264342.59,309390.91,747.13
9.30,264343.33,309391.24,747.12
9.40,264344.07,309391.56,747.10
9.50,264344.81,309391.88,747.06
0.10,264299.99,309370.00,741.20
0.20,264299.97,309370.01,741.17
0.30,264299.93,309370.02,741.14
0.40,264299.87,309370.04,741.08
0.50,264299.80,309370.05,741.01
0.60,264299.70,309370.07,740.92
0.70,264299.59,309370.08,740.82
0.80,264299.45,309370.10,740.70
0.90,264299.29,309370.13,740.56
1.00,264299.10,309370.16,740.41
1.10,264298.89,309370.20,740.25
1.20,264298.66,309370.24,740.08
1.30,264298.41,309370.29,739.90
1.40,264298.12,309370.35,739.71
1.50,264297.82,309370.41,739.50
1.60,264297.50,309370.48,739.28
1.70,264297.16,309370.55,739.04
1.80,264296.80,309370.62,738.79
1.90,264296.41,309370.69,738.52
2.00,264295.99,309370.77,738.24
2.10,264295.56,309370.84,737.95
2.20,264295.11,309370.91,737.65
2.30,264294.64,309370.99,737.34
2.40,264294.14,309371.08,737.00
2.50,264293.63,309371.16,736.66
2.60,264293.09,309371.25,736.30
2.70,264292.53,309371.35,735.94
2.80,264291.96,309371.44,735.57
2.90,264291.36,309371.54,735.20
3.00,264290.74,309371.65,734.81
3.10,264290.10,309371.76,734.41
3.20,264289.43,309371.88,734.00
3.30,264288.74,309372.01,733.58
3.40,264288.03,309372.14,733.15
3.50,264287.30,309372.27,732.70
3.60,264286.55,309372.41,732.24
3.70,264285.77,309372.56,731.76
3.80,264284.97,309372.72,731.27
3.90,264284.18,309372.87,730.78
4.00,264283.39,309373.03,730.27
4.10,264282.59,309373.19,729.77
4.20,264281.79,309373.36,729.26
4.30,264281.00,309373.54,728.75
4.40,264280.21,309373.72,728.25
4.50,264279.42,309373.91,727.74
4.60,264278.63,309374.09,727.23
4.70,264277.84,309374.28,726.73
4.80,264277.05,309374.47,726.22
4.90,264276.26,309374.66,725.72
5.00,264275.47,309374.85,725.21
5.10,264274.69,309375.04,724.71
5.20,264273.90,309375.23,724.20
5.30,264273.12,309375.42,723.70
5.40,264272.32,309375.61,723.20
5.50,264271.53,309375.80,722.69
5.60,264270.75,309375.98,722.18
5.70,264269.96,309376.18,721.68
5.80,264269.16,309376.37,721.18
5.90,264268.38,309376.55,720.67
6.00,264267.59,309376.74,720.16
6.10,264266.81,309376.93,719.66
6.20,264266.02,309377.12,719.16
6.30,264265.23,309377.31,718.66
6.40,264264.44,309377.51,718.16
6.50,264263.65,309377.71,717.65
6.60,264262.87,309377.91,717.15
6.70,264262.08,309378.11,716.65
6.80,264261.29,309378.32,716.15
6.90,264260.51,309378.52,715.64
7.00,264259.72,309378.72,715.14
7.10,264258.94,309378.92,714.64
7.20,264258.16,309379.12,714.13
7.30,264257.37,309379.33,713.63
7.40,264256.59,309379.53,713.12
7.50,264255.80,309379.73,712.61
